uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
SP;BR-116;GUARULHOS;1;1;QUARTA-FEIRA;2;0;6;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;MÚLTIPLA;"RETA;DECLIVE";SIM;0
CE;BR-116;PENAFORTE;1;1;QUARTA-FEIRA;2;0;7;06H-08H;MANHÃ;PLENO DIA;PISTA ESBURACADA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
PR;BR-369;CORNELIO PROCOPIO;1;1;QUARTA-FEIRA;2;0;8;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;DUPLA;"RETA;ACLIVE";SIM;0
PR;BR-116;CAMPINA GRANDE DO SUL;1;1;QUARTA-FEIRA;2;0;11;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
MG;BR-251;FRANCISCO SA;1;1;QUARTA-FEIRA;2;0;9;09H-11H;MANHÃ;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO FRONTAL;CHUVA;SIMPLES;"CURVA;DECLIVE";NÃO;0
MT;BR-070;CACERES;1;1;QUARTA-FEIRA;2;0;10;09H-11H;MANHÃ;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
RS;BR-116;TAPES;1;1;QUARTA-FEIRA;2;0;12;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;SAO JOSE;1;1;QUARTA-FEIRA;2;0;17;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
MG;BR-116;MURIAE;1;1;QUARTA-FEIRA;2;0;18;18H-20H;NOITE;ANOITECER;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;1
PE;BR-407;AFRANIO;1;1;QUARTA-FEIRA;2;0;17;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;"ACLIVE;CURVA";NÃO;0
